source,text,label
11,Ich küßte Ihm im Geist die Hand mit ihren Nägel-Schrunden.,positive
37,Ihm warst du ganz geweiht!,positive
19,"Ein Soldaten Bruder der bey meinem Meister im Quartier lag merkte es und tröstete mich, er gab mir die berlinischen Reden welche ich fleißig las.",positive
34,So weit ihr eigener Aufsatz.,neutral
21,"da er noch ein paar Jahr als Gärtner u. nun 23. Jahr im Keller mit großer Treue u. Fleiß dienete. seine rauhe Natur Art, machte daß sein Gang in der Gemeine, nicht immer so angenehm war, als er hätte seyn sollen,",negative
32,"1772. d. 26n. Octr. als das Stundengebet wieder aufs neue eingerichtet wurde, wiederfuhr mir die Gnade ganz ohne mein Vermuthen, ein Mitglied deßelben zu werden;",positive
34,B. Beym Liebesmahl Chorus.,neutral
33,"ich hatte harte Zeit bey ihm,",negative
21,"Endlich lief ihm einmal eine Negerin davon u. da er sie suchen gieng, kam er auch nach Pilger-Huth da nach ihr zu fragen, that aber sehr scheu,",negative
34,"Ich antwortete ihr, daß ich resolvirt sey mich zu den Brüdern zuhalten.",neutral
8,"Unser sel. Br. ergriff gleich drauf die Orgel-Bauer-Profession, blieb in Dresden, u. verheirathete sich.",neutral
14,"Der heilige Geist arbeitete in diesen 5 Jahren unermüdet an meinem Herzen, so daß ich niemals ganz todt im Herzen war.",positive
33,1760. zog sie nach Naz.,neutral
11,"Psalm 71, 27 Wie gut ists ein erlöstes Herze sehen, wie gönnt man ihm sein sanftes Wohlergehen; die an ihm gar seliglich erfüllt worden ist.",positive
19,"Ich reisete zu Ende Juni 1766 nach Gnadenfrey, kriegte Erlaubniß auf eine Probe zu bleiben,",positive
32,"Ich konte mit warhaftigen /// Herzen denken — “Die Geißeln u. die Banden, u. was Er ausgestanden, das hat verdient meine Seel.”",positive
27,"Ich nahm Gelegenheit, einfältig mit ihm von meinem Herzen zu reden, sagte ihm auch meinen Vorsatz, zur Brüdergemeine zu gehen, worüber er mir aber viel Schwierigkeiten machte.",negative
11,"Nun war mirs so, daß ich nirgends hin verlangte als zu Seinem Volck, und der lieben Mutter danckte ich für die Führung, die ich in der Welt gehabt, mit folgendem Vers: Ich seh an allen Enden, wie du mit Mutter-Händen, mich armes Kind geführt, Dein Sorgen und dein Mühen, bey meinem Auferziehen, hab ich die Jahr her wohl gespürt.",positive
19,"Seine 8halbjährige Ehe hat der liebe Heiland mit 2 Töchtergen gesegnet, die in der Pflege der Gemeine sind.",neutral
26,"Nachdem wir hierzu abgefertigt waren, wurde ich zu einem Diacono und meine Frau zur Diakonisse eingesegnet, und wir traten unsre Reise froh und dankbar gegen unsren lieben Heiland, der uns 10 Jahre in der Gemeine so viel Gutes hat geniessen lassen an und langten am 8ten Juni in Begleitung einiger 20 Indianer, die uns abzuholen gekommen waren, glücklich auf unseren Posten an.",positive
37,"Dieser Verlust ging ihr sehr nahe, da sie mit ihrem<m> eine sehr vergnügte Ehe geführt hatte.",negative
26,was wir da getan?,neutral
11,"Man dankt Ihm doch in diesem Jubel-Leben, für nichts so frölich, als fürs Sohns hergeben; und so kam ich den 27ten ejus in Bethlehem an mit der Loosung: Mache dich auf Zion;",positive
13,So weit sie selbst.,neutral
15,"Ihre Ehe war mit 3. Kindern gesegnet, wovon noch 1. Sohn und 1. Tochter in den hiesigen Chor-Häusern befindlich.",neutral
3,"Den 17ten Juny 1754 wurde mir angetragen, nach Amerika zu reisen, wozu ich auch willig war.",positive
12,"Ja heute noch, sagte Er.",neutral
13,"Sie suchte mich vor der Welt und ihren Versuchungen zu bewahren, und ließ mich nicht gern in die Schule gehen, aus Furcht daß ich verführt werden könnte.",negative
38,"Am Chorfeste des Ehechors d. 7tn Sept. war sie so schwach, daß sie alle Hoffnung aufgab, etwas auf ihren Antheil am ChorAMhle zu bekommen.",negative
3,Anno 61 wurde ich Chordiener daselbst),neutral
32,"ich gab mich aufs neue dem Bräutgam meiner Seelen hin u. machte den Bund mit Ihm, Sein treues Jungfräulein zu werden u. zu bleiben.",neutral
26,"Von den Mannsleuten, die eben da waren und noch hinkamen, wurden wir recht herzlich bewillkommt.",positive
5,"Denn verständige Leute gaben meinen Elltern den Rath, sie sollten mich nur auf eine kurze Zeit nach Herrnhaag schicken, es sey gar nicht zu zweifeln, ich würde dort meinen Irrthum bald selbst einsehen und so auf immer davon curirt werden.",negative
7,"Ich kan mich noch in meinem Innern der selgen Gnaden-Stund erinnern, da mit verborgner Liebes Hand Er mein Herz hat zu sich gewandt.",positive
26,Eine Katze wurde für 1/6 und eine Maus für 6d gekauft.,neutral
9,"""Ich habe in diesem Monat viel an dich und alle Geschwister in Bethlehem und aller Orten besonders im Lande gedacht.",neutral
38,"Der Heiland schenckte ihr aber Abends eine Erleicht- /// terung ihrer Brustbeschwerden, daß sie noch ihren Antheil davon geniessen konte, und darauf nach vielen schlaflosen Nächten einmal wieder eine sanfte ruhigere Nacht wiewol in großer Schwachheit hatte.",positive
26,"Ich weigerte mich, er ließ aber nicht nach, bis ich darein willigte;",negative
13,"Ich hofte auf dieser Reise mehr Freyheit für mich zu finden als ich im Hause meiner Tante gehabt hatte, fand mich aber betrogen, denn die Geschwister die mit meiner Familie nicht ganz unbekant waren, nahmen mich und meine Schwester in ihre sorgfältige Aufsicht.",negative
11,"ich mochte auch nicht mehr in dieser Welt leben, weil nichts als Angst, Furcht, Schrecken und Sünden darin ist, hatte wol keine Lust mehr zum sündigen, war aber doch nicht frey davon, und lebte immer in Unruhe.",negative
23,da kam ich recht ins eigne Würken und kämpfen mit der Sünde und quelte mich selber auf mancherley weise.,negative
33,"wie wir ein par Tage gereißt waren, traf ich die {NAME}in die sehr übelbehandelt wurde, u in großer Noth u Verlegenheit war an,",negative
